t,h,label,relatedness_score,sentence_h_en,sentence_t_en
الرجل الذي يقوم بالوقفة يراقبه رجل آخر,رجل في وضع يراقبه رجل آخر بتسلية,1,4.6,A man in a pose is being amusedly watched by another man,A man doing a pose is being watched by another man
طائرة تهبط,طائرة متحركة تهبط,1,4.4,An animated airplane is landing,A plane is landing
شخص  يركل كرة القدم بين أقدامهم,لاعب كرة القدم يركل الكرة بين ساقيه شخص ما,0,3.9,The soccer player is kicking the ball between somebody's legs,A person is kicking a soccer ball between their feet
لا يوجد رجل يفكر,رجل يفكر,2,3.5,A man is thinking,There is no man thinking
يتم إعطاء القط القليل من صلصة الحليب,القط شرب الحليب بجوع,0,3.7,The cat is hungrily drinking milk,A lick of milk sauce is being given to the cat
بعض الرجال يتسكعون,مجموعة الرجال يلعبون الرجبي في حقل موحل,0,2.2,The bunch of men are playing rugby on a muddy field,Some men are idling
طفل صغير يملأ الكوب بالماء,القطة تشرب بشغف بعض الحليب من الوعاء,1,4.8,One small child is greedily drinking water from the cup,One small child is drinking water from the cup
البالغون والأطفال يقفون ويلعبون أمام درجات السلم بالقرب من منطقة حرجية,يقف البالغون والأطفال ويلعبون أمام درجات بالقرب من منطقة صحراوية,0,3.6,Adults and children are standing and playing in front of steps near a desert area,Adults and children standing and playing in front of steps near a wooded area
الرجل عارٍ ولا يزال قائماً,رجل يرتدي قبعة صلبة ويرقص,0,1.9,A man is wearing a hard hat and dancing,A man is naked and standing still
كلبان يلعبان على الشاطئ ,كلب بني يركض عبر العشب الأخضر الطويل,0,3.5,A brown dog is running through tall green grass,A golden dog is running through a field of tall grass
 صبي يمر عبر المياه على الشاطئ,صبي  يرتدي قميصا أبيض  يقفز في المياه الضحلة,0,3.5,A boy in a white t-shirt is splashing in shallow water,A boy is running through the water at the beach
شخص لا يقرأ البريد الإلكتروني,شخص يقرأ البريد الإلكتروني,2,4.1,Someone is reading the email,Someone is not reading the email
المرأة والرجل مسافرا ن بالسيارة,ليس هناك امرأة تقود سيارة وتتحدث إلى رجل يجلس بجانبها,1,3.8,There is no woman driving a car and talking to the man seated beside her,The woman and the man are travelling by car
ليس هناك صبي يعزف على البيانو,رجل يغني ويعزف على الجيتار,0,1.885,A man is singing and playing a guitar,There is no boy playing a piano
لا يتم تقشير البطاطا من قبل امرأة,امرأة واحدة  تقشر  البطاطا,2,3.6,One woman is peeling a potato,The potato isn't being peeled by a woman
كلب يجري على طريق ثلجي,كلب يجري في طريق موحل,0,3.5,A dog is running on a muddy path,A dog is running on a snowy path
شخص يرمي قطة في السقف,شخص يرمي بغباء قطة في السقف,1,4.4,A person is stupidly throwing a cat at the ceiling,A person is throwing a cat at the ceiling
دراجة نارية تسير واقفة على مقعد السيارة,شخص ما على دراجة نارية سوداء وبيضاء ويقف على المقعد,0,3.165,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle is riding standing up on the seat of the vehicle
فريسة تجري بسرعة خلف الفهد,والفهد يركض بسرعة وراء فريسته.,2,3.6,A cheetah is quickly running behind its prey.,A prey is quickly running behind the cheetah
نمر يتجول في قفص,نمر يتجول بلا هدف,0,3.8,A tiger is walking around with no aim,A tiger is walking around a cage
فتاة صغيرة تروج لدراجة نارية,ليس هناك  فتاة صغيرة تروج لدراجة نارية,2,4.0,There is no little girl peddling a scooter,A little girl is peddling a scooter
شخص يرتدي قبعة ويجلس على العشب,رجل يجلس في حقل,0,3.8,A man is sitting in a field,A person is wearing a hat and is sitting on the grass
الرجال يضعون حقائب في صندوق سيارة,الرجال يضعون بعناية حقائب في صندوق سيارة,1,4.6,The men are carefully putting suitcases into the trunk of a car,The men are putting suitcases into the trunk of a car
رجل يتحدث,لا يوجد رجل يبصق,0,1.7,There is no man spitting,A man is talking
رجل يرتدي ملابس سوداء أنيقة يرتدي قناعًا أسود متقنًا,يقفز كلب أسود في الثلج عن الأرض ويلتقط عصا,0,2.65,A black dog in the snow is jumping off the ground and catching a stick,There is no dog jumping for a Frisbee in the snow
لا يوجد  فتاة تقفز إلى السيارة,هناك فتاة  تقفز على سيارة بتهور,1,4.4,The girl is recklessly jumping onto a car,One girl is jumping on the car
شخص ما داعب بطن حيوان,شخص ما  خدش بطن حيوان,1,4.3,Someone is scratching the belly of an animal,Someone is stroking the belly of an animal
ثلاثة رجال يقفزون من الحائط,يقفز ثلاثة رجال على الحائط,2,4.0,Three men are jumping on a wall,Three men are jumping off a wall
رجل يقف على عجلة سيارة أمريكية كلاسيكية بابها وصندوقها مفتوحان,الرجل ذو الرداء الأزرق يقف لالتقاط صورة بجوار سيارة,0,3.2,The man in blue is posing for a picture next to a vehicle,A man is standing at the wheel of a classic American car that has its door and trunk open
يقف رجلان على حافة منحدر ويقفز أحدهما في الماء,يقف صبي يرتدي سروالًا برتقاليًا قصيرًا على جرف صخري فوق الماء والصبي الآخر يرتدي سروالًا أسودًا يغوص في الماء,1,4.1,One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is diving into the water,Two males are standing on a cliff edge and one is jumping into the water
راكب الدراجة النارية يرتدي الأسود يكسر التروس,يرتدي راكب الدراجة النارية ملابس سوداء,0,3.1,A biker is wearing gear which is black,A biker wearing black is breaking the gears
يقف كلب أسود في المياه الضحلة,كلب أسود ذو ياقة حمراء يضع وجهه في الماء ببهجة,0,3.4,A black dog with a red collar is putting its face in the water,A black dog is standing in shallow water
رجل يعزف على الفلوت,البالغ يعزف على الجيتار بصوت عالٍ,0,2.4,The adult is playing the guitar loudly,A flute is being played by a man
المرأة لا تقلى اللحم,امرأة تقلى اللحم,2,3.5,A woman is frying meat,A woman is not frying meat
شخص ما لا يضع المكونات في مقلاة,شخص يقطع الثوم إلى قطع بسكين,0,1.9,A person is cutting garlic into pieces with a knife,Someone is not putting ingredients into a wok
فتاة صغيرة تستخدم لغة الإشارة,صبي صغير يستخدم لغة الإشارة,0,4.1,A young boy is using sign language,A young girl is using sign language
رجل يصعد على الحبل,رجل يتسلق  على الحبل,1,4.8,A man is climbing a rope,A man is climbing up a rope
طفلان صغيران يأكلان كورندوج,طفلان صغيران يأكلان كورندوغ,1,4.9,Two young kids are eating corndogs,Two young children are eating corndogs
الفرقة لا تغني,امرأة تضع المكياج بعناية,0,1.0,A woman is putting on makeup carefully,The band is singing 
طفل يرتدي الزي الرياضي الأخضر والأبيض يستريح على العشب,طفل صغير يرتدي شريط كرة قدم أخضر ويركض على العشب,0,3.4,A little boy is wearing a green soccer strip and is running on the grass,A child in a green and white sports uniform is resting on the grass
امرأة نائمة,رجل يأكل,0,1.1,A man is eating,A woman is sleeping
نمر يتجول بلا هدف,نمر يتجول بلا هدف,1,3.965,A tiger is walking around with no aim,A tiger is walking around aimlessly
يقضم الجرو البني عمودًا معدنيًا عالق في الأرض,يقضم الجرو البني عمودًا خشبيًا عالق في الأرض,0,4.1,A brown puppy is gnawing a wooden post that is stuck into the ground,A brown puppy is gnawing a metallic post that is stuck in the ground
المرأة تقطع  الثوم,المرأة لم تقطعالثوم,2,3.0,The woman is not dicing garlic,The woman is dicing garlic
رجل يعزف على البيانو ,رجل يعزف على الفلوت الخشبي,0,3.0,A man is playing a wooden flute,A man is playing the piano
شخص ما يقوم بتعقيم وتطهير حيوان,المرأة تقوم بتنظيف الروبيان,1,3.4,A woman is cleaning a shrimp,Someone is cleansing an animal
فتاة ترتدي قبعة سوداء ترتدي البيكيني على الشاطئ,سيدة تبدو شابة ترقد على الشاطئ,0,3.3,A lady who looks young is lying on the beach,A girl in a black hat is wearing a bikini at the beach
يركض كلب ذو معطف أسود وكلب أبيض على العشب,كلب أبيض وآخر أسود يركضان جنبًا إلى جنب على العشب,1,4.2,One white dog and one black one are running side by side on the grass,"A dog, which has a black coat, and a white dog are running on the grass"
طفلان صغيران يأكلان كورندوج,طفلان صغيران يأكلان الكلاب الصغيرة في عربة صغيرة حقًا,1,4.5,"Two toddlers are eating corndogs in a wagon, which is really small",Two young children are eating corndogs
رجل يغني ,لا يوجد من  يرقص,0,2.9,There is no man dancing,A man is singing
يحرك الرجل الصلصة للدجاج,الرجل لا يحرك الصلصة للدجاج,2,4.0,The man is not stirring the sauce for the chicken,The man is stirring the sauce for the chicken
شخص  يخرج من الماء,رجل آخذ في الارتفاع من مستنقع,0,3.6,A man is rising from a swamp,A person is coming out of the water
قطعة خبز كبيرة بها زبدة يرش عليها رجل أو قطعة خبز كبيرة يرشها رجل بالزبدة,الرجل يلطخ الزبدة بلا مبالاة على شريحة خبز بالثوم,1,4.7,A man is spreading butter on a piece of bread which is big,"A piece of bread, which is big, is having butter spread upon it by a man OR A piece of bread, which is big, is being spread with butter by a man"
سيدة شابة ذات شعر بني فاتح ترتدي عقدًا أحمر وقميصًا من النوع الثقيل وأقراطًا وتبتسم,الفتاة تحب اللون الأحمر ولا ترتدي الخرز للمراهقين,0,2.3,The girl likes red and isn't wearing beads for teenagers,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling"
لا أحد يتدلى من الأحزمة ويركل بعضه البعض,يتدلى الناس من أحزمةهم ويركلون بعضهم البعض,2,3.785,People are dangling from straps and kicking at each other,Nobody is dangling from straps and kicking at each other
رجل يتحدث على الهاتف,رجل يجري مكالمة على الهاتف الخليوي,0,4.2,A man is making a call on a cell phone,A man is talking on the phone
صبي صغير يقف في الغابة,الولد الصغير يقف في الغابة,1,5.0,The small boy is standing in the forest,A small boy is standing in the forest
تم القبض على كلب في الهواء بالكرة,يقفز كلب بني وأبيض في الهواء وفي فمه كرة تنس,1,3.6,A brown and white dog is jumping in the air with a tennis ball in its mouth,A dog is caught mid air with a ball
رجل يفتح علبة تحتوي على سماعات رأس,امرأة تركب الخيل ,0,1.1,A woman is riding a horse,A man is opening a package that contains headphones
امرأتان يرتدون الأبيض والأسود يجلسون على مقاعد البدلاء,امرأتان يرتدون الأبيض والأسود والاسترخاء على مقاعد البدلاء,0,4.2,Two women dressed in white and black are relaxing on a bench,Two women dressed in white and black are sitting on a bench
كلب  سحب طفل من بركة المطر,يدفع كلب طفل في بركة المطر,0,3.5,A dog is pushing a toddler into a rain puddle,A dog is pulling a toddler out of a rain puddle
امرأة تقطع بصلة,لا يوجد امرأة  تقطع البصل,2,4.3,There is no woman slicing an onion,A woman is slicing an onion
لا يوجد رجل يدرس الموضوع بكاميرا,رجل بكاميرا يدرس الموضوع,2,3.6,A man with a camera is studying the subject,There is no man with a camera studying the subject
بقرة تأكل التبن,رجل يحمل وشومًا يتسكع على أريكة ويبحث عن قلم رصاص,0,1.0,A man with tattoos is lounging on a couch and is looking for a pencil,A cow is eating hay
يسير أربعة أشخاص على طول رصيف المدينة والشخص الذي يرتدي القبعة الخضراء يتحدث عبر الهاتف الخلوي,يسير أربعة أشخاص على طول رصيف المدينة والشخص الذي يرتدي القبعة الخضراء يتصل بشخص ما,1,4.65,Four people are walking along a city sidewalk and the one in the green hat is phoning someone,Four people are walking along a city sidewalk and the one in the green hat is talking on a cell phone
مجموعة من المستكشفين يسيرون عبر العشب,مجموعة من الكشافة تتنزه عبر العشب,0,4.1,A group of scouts are hiking through the grass,A group of explorers are walking through the grass
رجلان وفتاة أمام جدار من الألواح الخشبية يتظاهران بوجوه مضحكة,يقف رجلان وفتاة خلف جدار من الألواح الخشبية بوجهين مضحكين,0,3.9,Two men and a girl in behind of a wood panel wall are posing with funny faces,Two men and a girl in front of a wood panel wall are posing with funny faces
طاهٍ يحضر وجبة,طاهٍ يحضر بعض الطعام,1,4.8,A chef is preparing some food,A chef is preparing a meal
طفل صغير يرتدي معطفًا أبيض ويلعب لعبة,طفل صغير يرتدي معطفًا أبيض ويلعب لعبة,1,4.9,A young child is wearing a white coat and playing a game,"A child, who is young, is wearing a white coat and playing a game"
شخص بالغ في المدرج ويتحدث إلى صبي,يتحدث عن شخص بالغ وصبي في المدرج,0,3.1,A talk about an adult and a boy is given in the amphitheater,An adult is in the amphitheater and is talking to a boy
الفتاة الصغيرة تتأرجح والمرأة تقف خلفها,الفتاة الصغيرة لا تتأرجح والمرأة لا تقف خلفها,2,3.1,The little girl is not swinging and the woman is not standing behind her,The little girl is swinging and the woman is standing behind her
يسير العديد من الأشخاص في طابور عبر جسر,أربعة أشخاص يجلسون على جسر فوق مسطح مائي,0,3.3,Four people are sitting on a bridge over a body of water,Several people are walking in line across a bridge
فتاة صغيرة ذات شعر أشقر تبتسم وتجلس على أرجوحة,لا توجد فتاة صغيرة ذات شعر أشقر تبتسم وتجلس على أرجوحة,2,3.7,There is no little girl with blond hair smiling and sitting on a swing,A little girl with blond hair is smiling and sitting on a swing
كرة القدم ممسوكة من قبل رجل بلا قميص,رجل بلا قميص يحمل كرة,1,5.0,A man with no shirt is holding a football,A football is being held by a man with no shirt
رجل يجلس على كرسي و يفرك عينيه,رجل يضع وشماً يتسكع على أريكة ويحمل قلم رصاص,0,2.4,A man with tattoos is lounging on a couch and holding a pencil,A man is sitting on a chair and rubbing his eyes
الشخص الخب على الحصان,الفتاة والخب على الحصان,1,4.1,The girl is trotting on the horse,The person is trotting on the horse
لا يوجد رجل يرقص على الطريق,رجل يرقص,0,3.2,A man is dancing,There is no man dancing on the road
امرأة تلتقط الكنغر وهي رضيع بين ذراعيها,المرأة تلتقط طفلاً كنغرًا وتحمله,1,4.7,The woman is picking up and holding a baby kangaroo,"A woman is picking up and holding a kangaroo, which is a baby, in her arms"
راكب أمواج يركب موجة كبيرة,راكب أمواج يركب موجة كبيرة عبر مياه خضراء داكنة,1,4.3,A surfer is riding a big wave across dark green water,A surfer is riding a big wave
امرأة تضع المعكرونة في طبق,المرأة لا تضع المعكرونة في طبق,2,3.3,The woman is not putting pasta into a dish,The woman is putting pasta into a dish
وليس هناك رجل يدلك امرأة,رجل يشد قطعة من الخشب في الحائط,0,1.3,A man is screwing a piece of wood to a wall,There is no man massaging a woman
ضفدع يحتجزه رجل بلا مبالاة,رجل يفرغ وعاءً مصنوعًا من البلاستيك,1,4.8,A frog is being held carelessly by a man,A man is carelessly holding a frog
كلب تلعق طفل,كلب يمشي بعيدا عن الطفل,0,3.1,A dog is walking away from a baby,A dog is licking a baby
المرأة تضع قلم رصاص على ظلال العيون,السيدة تضع قلم رصاص على ظلال العيون,1,5.0,The lady is penciling on eyeshadow,The woman is penciling on eyeshadow
رجل يرتدي زيا أحمر يقفز في سباق دراجات ترابية,لا يوجد رجل يرتدي الزي الأحمر يقفز في سباق دراجات ترابية,2,3.4,There is no man in a red uniform making a jump in a dirt bike race,A man in a red uniform is making a jump in a dirt bike race
يتم وضع الطفل في سلة المهملات من قبل امرأة,لا يوجد أي طفل يتم وضع في سلة المهملات من قبل امرأة,2,3.8,There is no baby being put into a trash can by a woman,The baby is being put into a trash can by a woman
السلحفاة لا تتبع السمك,سلحفاة بحرية تبحث عن الأسماك,0,3.2,A sea turtle is hunting for fish,The turtle isn't following the fish
طفل صغير يرتدي حذاءً مصنوعًا من المطاط الأخضر ويلعب في بركة مليئة بالطين,كان هناك طفل صغير يقفز في بركة في الشارع,0,4.2,A little boy is jumping into a puddle on the street,A young child is wearing boots made of green rubber and playing in a puddle full of mud
كلب في الفناء يركض عبر معاطف ملونة,يركض كلب يرتدي معطفًا ملونًا عبر الفناء,0,3.3,A dog in a colored coat is running across the yard,A dog in the yard is running across colored coats
امرأة تحرك  أصابعها,امرأة تحرك  أصابعها بعصبية,1,4.6,A woman is tapping her fingers nervously,A woman is tapping her fingers
رجل يقود سيارة,يتم تنظيف النوافذ من قبل رجل,0,1.4,The windows are being cleaned by a man,The man is driving a car
رجل يتسلق  على الحبل,رجل فك القيود حبل,0,3.15,A man is untying a rope,A man is climbing a rope
رجل يرقص بالمقلوب على السقف,رجل يرقص بشكل خطير على سقف غرفة,0,4.0,A man is dangerously dancing on the ceiling of a room,A man is dancing upside-down on the ceiling
كلب في دلو يعض شجرة ربما تكون صنوبر,كلب بجانب شجرة,0,3.2,"A dog next to a tree, which is probably a pine, is biting a bucket",A dog in a bucket is biting a tree which is probably a pine
شخص يرمي قطة في السقف,شخص يرمي بغباء قطة في السقف,1,4.5,A person is stupidly throwing a cat at the ceiling,A person is throwing a cat at the ceiling
الشخص  تقشر  البصل,شخص يقطع البصل,2,4.3,The person is slicing onions,The person is peeling an onion
راكب دراجة يقوم بقفزة على دراجة,يقوم راكب دراجة بأداء خدعة على جدار به رسوم بيانية كثيفة,0,3.585,A bicyclist is performing a trick over a heavily graphitized wall,A cyclist is performing a jump on a bicycle
الرجال يؤدون على خشبة المسرح,الرجال يتصرفون على خشبة المسرح,1,4.4,The men are acting on a stage,The men are performing on stage
الصبي الصغير الذي يرتدي القميص الأزرق لا يقفز في الماء,صبي صغير يقفز في بحيرة ساكنة,0,3.3,A young boy is jumping into a still lake,The young boy in the blue shirt is not jumping into the water
يتنقل المشاة والسيارات خلال ازدحام مروري في المدينة الكبيرة,بعض الناس والمركبات في شارع مزدحم,1,3.8,Some people and vehicles are on a crowded street,Pedestrians and cars are moving through a traffic jam in the big city
شاب ذو شعر بني ونظارة شمسية يجلس أمام بعض علب الصودا,الرجل ذو الشعر البني يرتدي نظارة شمسية ويجلس على طاولة مع علب الصودا وغيرها من المشروبات,0,4.3,The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks,A young man with brown hair and sunglasses is sitting in front of some cans of soda
الشخص يقوم بتقطيع  قطعة من الخبز,رجل يقطع بعض الخبز,1,4.6,A man is slicing some bread,A person is slicing a piece of bread
امرأة تغلي البيض,امرأة تضع اثنين من البيض في وعاء من الماء,0,4.2,A woman is putting two eggs into a pot of water,A woman is boiling eggs
رجل يضع بعض الطعام في صندوق,الرجل وضع الدجاج في وعاء,1,4.315,The man is putting chicken into the container,A man is putting some food in a box
راكب يتصفح الموجة,راكب أمواج يركب الموجة,1,4.6,A surfer is riding the wave,A rider is surfing the wave
يتم العزف على البيانو   على يد رجل,صبي يعزف بسعادة على البيانو,0,3.8,A boy is happily playing the piano,A piano is being played by a man
رجل وامرأة يسيرون عبر منطقة صحراوية,رجل وامرأة كانوا يسيرون معا من خلال الغابة,0,3.8,A man and a woman are walking together through the woods,A man and a woman are walking through a desert area
امرأة آسيوية في حشد من الناس يحمل حقيبة سوداء,تلميذة مع حقيبة سوداء هي في قطار مزدحم,0,2.8,A schoolgirl with a black bag is on a crowded train,An Asian woman in a crowd is carrying a black bag
حصان يقذف راعي البقر مرتديًا سروالًا أزرق وأحمر,رجل يسقط من على حصان على مضمار ويوضع في البرية,0,2.7,A man is falling off a horse on a track and is laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color
الفتاة الصغيرة تتأرجح والمرأة تقف في الخلف,الفتاة الصغيرة تتأرجح والمرأة تقف خلفها,1,4.9,The little girl is swinging and the woman is standing behind her,"The girl, who is little, is swinging and the woman is standing behind"
كلب يركض على الرمال ويطارد كرة,كلب يركض على الشاطئ ويطارد كرة,1,4.4,A dog is running on the beach and chasing a ball,A dog is running on the sand and chasing a ball
تلعب مجموعة من الفتيان لكرة القدم على الشاطئ,تلعب مجموعة من الفتيان لكرة القدم على شاطئ البحر,1,4.7,A group of boys is playing soccer on the seashore,A group of boys is playing soccer on the beach
الرجال يقاتلون بقبضة في حلقة,رجلان يقاتلان بقبضتيهما في حلقة,1,4.6,Two men are fist fighting in a ring,The men are fist fighting in a ring
زوجان يسيران في الممر,زوجان يسيران في ممر,1,4.4,A married couple is walking up the aisle,A married couple is walking down the aisle
فتاة تمارس الرياضة ,فتاة تتمشى ,0,3.015,The girl is lounging,A girl is exercising
رجل يقوم بقطع الطماطم إلى شرائح, رجل قطع كعكة,0,2.9,A man is cutting a bun,A man is slicing a tomato
طفل يضحك و يزحف,وليس هناك رجل يعزف على الكمان,0,1.1,There is no man playing a violin,The baby is laughing and crawling
يجلس الناس على طاولات في غرفة حمراء,عدة أشخاص يجلسون على طاولات صغيرة في غرفة مظلمة,0,3.7,Several people are sitting at small tables in a darkened room,People are sitting at tables in a red room
القطة تنظر من النافذة على الطاولة الموجودة على الفرخ,قطة بيضاء تطفو على خزانة خشبية صغيرة تنظر خارج النافذة,1,3.8,A white cat perched on a small wooden cabinet is looking outside the window,The cat is looking out the window at the table on the perch
رجل يرتدي زي رسمي يمسك الميكروفون ويبدأ الغناء,عائلة تشتري شيئا من آلة البيع,0,1.0,A family is buying something at the vending machine,A man in a suit is standing at a microphone and singing
 كتابة شخص ما يكتب على لوحة مفاتيح,ليس هناك أحد يكتب,2,2.7,There is no one typing,Someone is typing on a keyboard
يلعب شخص مع الضفدع,امرأة يعزف على البوق ,0,1.7,A woman is playing the trumpet,Someone is playing with a toad
رجل وفتى يقفان في أسفل بعض السلالم الخارجية,الرجل والصبي يقفون في أسفل الدرج,1,5.0,"The man and the boy are standing at the bottom of the stairs, which are outdoors","A man and a boy are standing at the bottom of some stairs, which are outdoors"
رجل يقود سيارة,رجل يقود سيارة,1,4.4,A man is driving a car,A man is driving a vehicle
طفلة صغيرة تعزف على البيانو,لا توجد فتاة صغيرة تعزف على البيانو,2,3.5,There is no little girl playing the piano,A little girl is playing the piano
شخص يكتب,الكتابة بقلم الرصاص,0,2.9,The writing is about a person penciling,A person is writing
لا يوجد رجال ينشرون,بعض الرجال ينشرون ,2,3.9,Some men are sawing,There are no men sawing
رجل يلعب بالكرة,رجل يعزف على الفلوت,0,1.5,A man is playing flute,A man is playing a game with a ball
المرأة تقطع البطاطا,امرأة  لم تقطع الجزر,0,3.2,A woman is not slicing carrots,A woman is cutting potatoes
تقف مجموعة من الناس على جانبي هيكل من الحجر الأحمر,مجموعة من الناس تجلس على جانبي هيكل من الحجر الأحمر,0,4.4,A group of people is sitting on both sides of a red stone structure,A group of people is standing on both sides of a red stone structure
الفتاة تستخدم قلم رصاص للعيون على جفنها,الفتاة تستخدم قلم رصاص على جفنها,1,4.9,The girl is using an eye pencil on her eyelid,The girl is using a pencil for the eyes on her eyelid
امرأة تضع  البطاطا بعيدا,وقالت امرأة أنها قشرت  البطاطا,0,3.3,A woman is peeling a potato,A woman is putting away a potato
لا يوجد رجل جز العشب,وقال الرجل أنه قص العشب في الحديقة,2,3.8,A guy is mowing the lawn,There is no man mowing grass
ثلاثة أولاد يمشون على الصخور بمحاذاة النهر,الرجال ذوو السراويل البنية يمشون على الصخور بجانب نهر,1,4.3,The men in brown shorts are walking on the rocks beside a river,The man in brown colored shorts is walking on the rocks beside a river
المتزلج على الجليد يقفز فوق الثلج الأبيض,الوثب الممارس هو قذف شخص على الجليد في الهواء,0,2.8,A practicing jumper is tossing a person's snowboard into the air,The snowboarder is leaping over white snow
يتم تلميع النوافذ من قبل رجل,رجل يقود سيارة,0,1.1,The man is driving a car,The windows are being polished by a man
رجل يتسلق الصخور ويتوقف ويحسب الطريق,رجل تسلق الصخور,1,4.8,"A man is rock climbing, pausing and calculating the route","A man is rock climbing, stopping and calculating the route"
الطعام على صواني تؤكل من قبل القطط,الطعام على صواني لا  تؤكل من قبل القطط,2,3.3,The food on the trays isn't being eaten by the kittens,The food on the trays is being eaten by the kittens
صبي يعزف بسعادة على البيانو,الصبي لا يعزف على البيانو بسعادة,2,3.8,The boy isn't playing the piano happily,A boy is happily playing the piano
شخص يغلي المعكرونة,امرأة تغلي المعكرونة في الماء,1,4.6,A woman is boiling noodles in water,The person is boiling noodles
يقوم حشد مضحك من الناس بعمل مسرحية هزلية لرجلين ملاكمة,الأولاد يرقصون أمام بعض الناس,0,1.4,Boys are dancing in front of some people,A funny crowd of people is doing a skit of two boxing men
 رجل قطع البطاطا,رجل لم يقطع البطاطا,2,3.6,A man is not cutting a potato,A man is cutting a potato
يلعب اثنان من الصبيان على الترامبولين,بعض الأطفال يقفزون من على الترامبولين,0,4.1,Some children are jumping off a trampoline,Two boy are playing on a trampoline
امرأة خلط محتوى وعاء,رجل خلط محتوى وعاء,0,3.8,A man is mixing the content of a bowl,A woman is mixing the content of a bowl
رجل مسن يجلس على مقعد ويرتدي سترة رمادية وسروالا أسود,امرأة مسنة تجلس على مقعد وترتدي سترة رمادية وسروالًا أسود,0,3.5,An elderly woman is sitting on a bench and is wearing a gray jacket and black pants,An elder man is sitting on a bench and is wearing a gray jacket and black pants
الفتاة تهتف للرجل بالزي الأزرق والأبيض,الفتاة التي ترتدي الزي الأزرق والأبيض تبتهج,0,3.1,The girl in the blue and white uniform is cheering,The girl is cheering the man in the blue and white uniform
امرأة ترقص بالقرب من الموقد,امرأة تقطع الطماطم,0,1.4,A woman is cutting a tomato,A woman is dancing near a fireplace
امرأة يضيف المكونات إلى وعاء,امرأة يضيف المكونات إلى وعاء كبير,1,4.6,A woman is adding ingredients to a big bowl,A woman is adding ingredients to a bowl
الرجل يركب حصانًا,رجل يوقف حصان,0,3.9,A man is stopping a horse,The man is riding a horse
صبي صغير يقفز من على كرسي,صبي صغير يقفز بسرعة من على كرسي,1,4.3,A young boy is quickly jumping off a chair,A young boy is jumping off a chair
المرأة ترتدي نظارة شمسية كبيرة الحجم وتمسك الجرائد بكلتا يديها,امرأة ترتدي نظارة شمسية من الحجم الكبير,1,5.0,A woman is wearing sunglasses of large size and is holding newspapers in both hands,The woman is wearing sunglasses of large size and is holding newspapers in both hands
شخص  يركب دراجة  أسفل تلة ترابية,يقود الدراجة  قرد,0,2.8,A bike is being ridden over a monkey,A person is riding a dirt bike down a dirt hill
رجل يركل بقوة كرة القدم,رجل وأداء الحيل بالكرة   القدم,0,3.9,A man is performing tricks with a soccer ball,A man is powerfully kicking a soccer ball
يفرم الشخص حبة فلفل برتقالية اللون,لا يوجد طباخ يقطع بعض الفلفل,0,2.9,The person is dicing up a pepper which is orange,The orange colored dices are being cast by a cook to win the pepper
رجل قطع أسفل شجرة بفأس, رجل قطع شجرة بفأس,1,4.7,A man is cutting a tree with an axe,A man is chopping down a tree with an axe
طفل يعزف على الغيتار,يعزف صبي الموسيقا,0,4.0,A boy is playing an instrument,A kid is playing guitar
رجل يشرب عصير البرتقال ويمشي,رجل يشرب عصير البرتقال ويمشي في يوم مشمس,2,3.3,There is no man drinking orange juice and walking on a sunny day,A man is drinking orange juice and walking
هناك شخص  يركب دراجة على عجلة واحدة, شخص على دراجة نارية سوداء يقوم بحيل بسترته,0,3.4,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel
حلبة التزلج على الجليد الموضوعة في الهواء الطلق مليئة بالناس,حلبة التزلج على الجليد وضعت في الهواء الطلق مليء الناس,1,4.9,The ice skating rink placed outdoors is full of people,An ice skating rink placed outdoors is full of people
رجل وامرأة يتحدثون,رجل وامرأة ويأكلان,0,3.4,A man and a woman are eating,A man and woman are talking
الشخص يرقص ,رجل يرقص ,1,4.4,A man is dancing,A person is dancing
ليس هناك امرأة تقشر البطاطا,امرأة  لم تقطع الطماطم,0,1.8,A woman is slicing a tomato,There is no woman peeling a potato
الرجل يعزف على الآلة الموسيقية,الرجل يعزف على الغيتار,1,4.4,The man is playing the guitar,The man is playing the instrument
رجل وامرأة يجريان محادثة,رجل وامرأة يأكلان,0,2.8,A man and a woman are eating,A man and a woman are having a conversation
رجل قطع حبل  بالسيف,ليس هناك رجل يقطع حبل بالسيف,2,2.5,There is no man cutting a rope with a sword,A man is cutting a rope with a sword
طائر يرفرف بجناحيه على الماء,بطة بنية برأس أخضر ترفرف بجناحيها في الماء,1,4.3,A brown duck with a green head is flapping its wings in the water,A bird is flapping its wings on the water
بعض الناس والمركبات في أحد الشوارع الشبه خالية,بعض الناس والمركبات في شارع مزدحم,2,4.2,Some people and vehicles are on a crowded street,Some people and vehicles are on a almost empty street
رجل يركب دراجة نارية,رجل وقوف السيارات دراجة نارية,0,3.3,A man is parking a motorbike,A man is riding a motorbike
